@relation heroes

@attribute index numeric
@attribute name {A-Bomb,'Abe Sapien','Abin Sur',Abomination,'Absorbing Man','Adam Strange','Agent 13','Agent Bob','Agent Zero',Air-Walker,Ajax,'Alan Scott','Alfred Pennyworth',Alien,Amazo,Ammo,Angel,'Angel Dust','Angel Salvadore','Animal Man',Annihilus,Ant-Man,'Ant-Man II',Anti-Venom,Apocalypse,Aqualad,Aquaman,Arachne,Archangel,Arclight,Ardina,Ares,Ariel,Armor,Atlas,Atom,'Atom Girl','Atom II',Aurora,Azazel,Bane,Banshee,Bantam,Batgirl,'Batgirl IV','Batgirl VI',Batman,'Batman II',Battlestar,Beak,Beast,'Beast Boy','Beta Ray Bill','Big Barda','Big Man',Binary,Bishop,Bizarro,'Black Adam','Black Bolt','Black Canary','Black Cat','Black Knight III','Black Lightning','Black Mamba','Black Manta','Black Panther','Black Widow','Black Widow II',Blackout,Blackwing,Blackwulf,Blade,Bling!,Blink,'Blizzard II',Blob,Bloodaxe,'Blue Beetle II',Boom-Boom,'Booster Gold','Box III',Brainiac,'Brainiac 5','Brother Voodoo',Buffy,Bullseye,Bumblebee,Cable,Callisto,Cannonball,'Captain America','Captain Atom','Captain Britain','Captain Mar-vell','Captain Marvel','Captain Marvel II',Carnage,Cat,Catwoman,'Cecilia Reyes',Century,Chamber,Changeling,Cheetah,'Cheetah II','Cheetah III',Chromos,'Citizen Steel',Cloak,'Clock King',Colossus,Copycat,Corsair,Cottonmouth,'Crimson Dynamo',Crystal,Cyborg,Cyclops,Cypher,Dagger,Daredevil,Darkhawk,Darkseid,Darkstar,'Darth Vader',Dash,Dazzler,Deadman,Deadpool,Deadshot,Deathlok,Deathstroke,Demogoblin,Destroyer,Diamondback,'Doc Samson','Doctor Doom','Doctor Doom II','Doctor Fate','Doctor Octopus','Doctor Strange',Domino,'Donna Troy',Doomsday,Doppelganger,'Drax the Destroyer',Elastigirl,Electro,Elektra,'Elongated Man','Emma Frost',Enchantress,Etrigan,'Evil Deadpool',Evilhawk,Exodus,'Fabian Cortez',Falcon,Feral,'Fin Fang Foom',Firebird,Firelord,Firestar,Firestorm,Flash,'Flash II','Flash III','Flash IV',Forge,'Franklin Richards','Franklin Storm',Frenzy,Frigga,Galactus,Gambit,Gamora,Genesis,'Ghost Rider',Giganta,Gladiator,'Goblin Queen',Goku,'Goliath IV','Gorilla Grodd','Granny Goodness',Gravity,'Green Arrow','Green Goblin','Green Goblin II','Green Goblin III','Green Goblin IV',Groot,'Guy Gardner','Hal Jordan','Han Solo','Harley Quinn',Havok,Hawk,Hawkeye,'Hawkeye II',Hawkgirl,Hawkman,Hawkwoman,'Hawkwoman III','Heat Wave',Hela,Hellboy,Hellcat,Hellstorm,Hercules,Hobgoblin,'Hope Summers','Howard the Duck',Hulk,'Human Torch',Huntress,Husk,Hybrid,Hydro-Man,Hyperion,Iceman,Impulse,'Indiana Jones',Ink,'Invisible Woman','Iron Fist','Iron Man','Jack of Hearts',Jack-Jack,'James T. Kirk','Jean Grey','Jennifer Kale','Jessica Jones',Jigsaw,'John Stewart','John Wraith',Joker,Jolt,Jubilee,Juggernaut,Justice,Kang,'Karate Kid','Killer Croc',Kilowog,Kingpin,Klaw,'Kraven II','Kraven the Hunter',Krypto,'Kyle Rayner','Lady Deathstrike',Leader,Legion,'Lex Luthor','Light Lass','Lightning Lad','Lightning Lord','Living Brain',Lizard,Lobo,Loki,Longshot,'Luke Cage','Luke Skywalker',Mach-IV,'Machine Man',Magneto,Man-Thing,Man-Wolf,Mandarin,Mantis,'Martian Manhunter','Marvel Girl','Master Brood',Maverick,Maxima,Medusa,Meltdown,Mephisto,Mera,Metallo,Metamorpho,Metron,'Micro Lad',Mimic,'Miss Martian','Mister Fantastic','Mister Freeze','Mister Sinister',Mockingbird,MODOK,'Molten Man',Monarch,'Moon Knight',Moonstone,Morlun,Morph,'Moses Magnum','Mr Immortal','Mr Incredible','Ms Marvel II','Multiple Man',Mysterio,Mystique,Namor,Namora,Namorita,'Naruto Uzumaki',Nebula,'Nick Fury',Nightcrawler,Nightwing,Northstar,Nova,Odin,'Omega Red',Omniscient,'One Punch Man',Onslaught,Oracle,'Paul Blart','Penance II',Penguin,'Phantom Girl',Phoenix,Plantman,'Plastic Man',Plastique,'Poison Ivy',Polaris,'Power Girl',Predator,'Professor X','Professor Zoom',Psylocke,Punisher,'Purple Man',Pyro,Question,Quicksilver,Quill,'Raunknowns Al Ghul',Rambo,Raven,Ray,'Razor-Fist II','Red Arrow','Red Hood','Red Hulk','Red Robin','Red Skull','Red Tornado',Rhino,'Rick Flag',Ripcord,Robin,'Robin II','Robin III','Robin V','Rocket Raccoon',Rogue,Ronin,Rorschach,Sabretooth,Sage,Sandman,Sasquatch,Scarecrow,'Scarlet Spider','Scarlet Spider II','Scarlet Witch',Scorpion,Sentry,'Shadow King','Shadow Lass',Shadowcat,Shang-Chi,Shatterstar,She-Hulk,She-Thing,Shocker,Shriek,Sif,'Silver Surfer',Silverclaw,Sinestro,Siren,Siryn,Skaar,Snowbird,'Solomon Grundy',Songbird,'Space Ghost',Spawn,Spider-Girl,Spider-Gwen,Spider-Man,Spider-Woman,'Spider-Woman III','Spider-Woman IV',Spock,Spyke,Star-Lord,Starfire,Stargirl,Static,Steel,Steppenwolf,Storm,Sunspot,Superboy,Superboy-Prime,Supergirl,Superman,Swarm,Synch,T-1000,Taskmaster,Tempest,Thanos,'The Comedian',Thing,Thor,'Thor Girl',Thunderbird,'Thunderbird III',Thunderstrike,Thundra,'Tiger Shark',Tigra,Tinkerer,Toad,Toxin,Trickster,'Triplicate Girl',Triton,Two-Face,Ultragirl,Ultron,Utgard-Loki,Vagabond,'Valerie Hart',Valkyrie,Vanisher,Vegeta,Venom,'Venom II','Venom III','Vertigo II',Vibe,Vindicator,'Violet Parr',Vision,'Vision II',Vixen,Vulture,Walrus,'War Machine',Warbird,Warlock,Warp,Warpath,Wasp,'White Queen','Winter Soldier','Wiz Kid',Wolfsbane,Wolverine,'Wonder Girl','Wonder Man','Wonder Woman','Wyatt Wingfoot',X-23,X-Man,'Yellow Claw',Yellowjacket,'Yellowjacket II',Yoda,Zatanna,Zoom}
@attribute Gender {Male,Female,-}
@attribute 'Eye color' {yellow,blue,green,brown,-,red,violet,white,purple,black,silver,grey,'yellow (without irises)',gold,'blue / white',hazel,'green / blue','white / red',indigo,amber,'yellow / blue'}
@attribute Race {Human,'Icthyo Sapien',Ungaran,'Human / Radiation',-,Cyborg,'Xenomorph XX121',Android,Mutant,Symbiote,Atlantean,Alien,'God / Eternal',Neyaphem,'New God',Bizarro,Inhuman,Metahuman,Demon,Vampire,Human-Kree,Amazon,'Human / Altered',Kakarantharaian,'Cosmic Entity',Zen-Whoberian,Strontian,Saiyan,Gorilla,'Flora Colossus',Human-Vuldarian,Asgardian,Demi-God,Eternal,Bolovaxian,Kryptonian,Czarnian,Martian,Luphomoid,'Human / Cosmic',Yautja,Animal,Clone,Talokite,Korugaran,Zombie,Human-Vulcan,Human-Spartoi,Tamaranean,'Frost Giant','Mutant / Clone','Yodaunknowns species'}
@attribute 'Hair color' {'No Hair',Blond,Brown,-,White,Black,Purple,Orange,Pink,Red,Auburn,'Strawberry Blond',black,Blue,Green,Magenta,'Brown / White',blond,Silver,'Red / Grey',Grey,'Orange / White',Yellow,Brownn,Gold,'Red / Orange',Indigo,'Red / White','Black / Blue'}
@attribute Height numeric
@attribute Publisher {'Marvel Comics','Dark Horse Comics','DC Comics','Team Epic TV','George Lucas',Shueisha,'Star Trek','Sony Pictures',-,'Image Comics'}
@attribute 'Skin color' {-,blue,red,black,grey,gold,green,white,pink,silver,yellow,purple,blue-white,orange}
@attribute Alignment {good,bad,-,neutral}
@attribute Weight numeric

@data
239,'Elongated Man',Male,blue,-,Red,185,'DC Comics',-,good,80
240,'Emma Frost',Female,blue,-,Blond,178,'Marvel Comics',-,good,65
241,Enchantress,Female,blue,Human,Blond,168,'DC Comics',-,good,57
245,Etrigan,Male,red,Demon,'No Hair',193,'DC Comics',yellow,neutral,203
246,'Evil Deadpool',Male,white,Mutant,Red,188,'Marvel Comics',-,bad,95
247,Evilhawk,Male,red,Alien,Black,191,'Marvel Comics',green,bad,106
248,Exodus,Male,blue,Mutant,Black,183,'Marvel Comics',red,bad,88
249,'Fabian Cortez',-,blue,-,Brown,196,'Marvel Comics',-,bad,96
250,Falcon,Male,brown,Human,Black,188,'Marvel Comics',-,good,108
253,Feral,-,'yellow (without irises)',-,'Orange / White',175,'Marvel Comics',-,good,50
255,'Fin Fang Foom',Male,red,Kakarantharaian,'No Hair',975,'Marvel Comics',green,good,18
256,Firebird,Female,brown,-,Black,165,'Marvel Comics',-,good,56
257,Firelord,-,white,-,Yellow,193,'Marvel Comics',-,good,99
258,Firestar,Female,green,Mutant,Red,173,'Marvel Comics',-,good,56
260,Firestorm,Male,blue,Human,Auburn,188,'DC Comics',-,good,91
262,Flash,Male,blue,Human,'Brown / White',180,'DC Comics',-,good,81
264,'Flash II',Male,blue,Human,Blond,183,'DC Comics',-,good,88
265,'Flash III',Male,-,Human,-,183,'DC Comics',-,good,86
266,'Flash IV',Male,yellow,Human,Auburn,157,'DC Comics',-,good,52
267,Forge,-,brown,-,Black,183,'Marvel Comics',-,good,81
268,'Franklin Richards',Male,blue,Mutant,Blond,142,'Marvel Comics',-,good,45
269,'Franklin Storm',-,blue,-,Grey,188,'Marvel Comics',-,good,92
270,Frenzy,Female,brown,-,Black,211,'Marvel Comics',-,bad,104
271,Frigga,Female,blue,-,White,180,'Marvel Comics',-,good,167
272,Galactus,Male,black,'Cosmic Entity',Black,876,'Marvel Comics',-,neutral,16
273,Gambit,Male,red,Mutant,Brown,185,'Marvel Comics',-,good,81
274,Gamora,Female,yellow,Zen-Whoberian,Black,183,'Marvel Comics',green,good,77
278,Genesis,Male,blue,-,Blond,185,'Marvel Comics',-,good,86
279,'Ghost Rider',Male,red,Demon,'No Hair',188,'Marvel Comics',-,good,99
283,Giganta,Female,green,-,Red,62.5,'DC Comics',-,bad,630
284,Gladiator,Male,blue,Strontian,Blue,198,'Marvel Comics',purple,neutral,268
285,'Goblin Queen',Female,green,-,Red,168,'Marvel Comics',-,bad,50
288,Goku,Male,-,Saiyan,-,175,Shueisha,-,good,62
292,'Goliath IV',Male,brown,-,Black,183,'Marvel Comics',-,good,90
293,'Gorilla Grodd',Male,yellow,Gorilla,Black,198,'DC Comics',-,bad,270
294,'Granny Goodness',Female,blue,-,White,178,'DC Comics',-,bad,115
295,Gravity,Male,blue,Human,Brown,178,'Marvel Comics',-,good,79
297,'Green Arrow',Male,green,Human,Blond,188,'DC Comics',-,good,88
298,'Green Goblin',Male,blue,Human,Auburn,180,'Marvel Comics',-,bad,83
299,'Green Goblin II',Male,blue,-,Auburn,178,'Marvel Comics',-,bad,77
300,'Green Goblin III',Male,-,-,-,183,'Marvel Comics',-,good,88
301,'Green Goblin IV',Male,green,-,Brown,178,'Marvel Comics',-,good,79
302,Groot,Male,yellow,'Flora Colossus',-,701,'Marvel Comics',-,good,4
304,'Guy Gardner',Male,blue,Human-Vuldarian,Red,188,'DC Comics',-,good,95
305,'Hal Jordan',Male,brown,Human,Brown,188,'DC Comics',-,good,90
306,'Han Solo',Male,brown,Human,Brown,183,'George Lucas',-,good,79
308,'Harley Quinn',Female,blue,Human,Blond,170,'DC Comics',-,bad,63
310,Havok,Male,blue,Mutant,Blond,183,'Marvel Comics',-,good,79
311,Hawk,Male,red,-,Brown,185,'DC Comics',-,good,89
312,Hawkeye,Male,blue,Human,Blond,191,'Marvel Comics',-,good,104
313,'Hawkeye II',Female,blue,Human,Black,165,'Marvel Comics',-,good,57
314,Hawkgirl,Female,green,-,Red,175,'DC Comics',-,good,61
315,Hawkman,Male,blue,-,Brown,185,'DC Comics',-,good,88
316,Hawkwoman,Female,green,-,Red,175,'DC Comics',-,good,54
318,'Hawkwoman III',Female,blue,-,Red,170,'DC Comics',-,good,65
319,'Heat Wave',Male,blue,Human,'No Hair',180,'DC Comics',-,bad,81
320,Hela,Female,green,Asgardian,Black,213,'Marvel Comics',-,bad,225
321,Hellboy,Male,gold,Demon,Black,259,'Dark Horse Comics',-,good,158
322,Hellcat,Female,blue,Human,Red,173,'Marvel Comics',-,good,61
323,Hellstorm,Male,red,-,Red,185,'Marvel Comics',-,good,81
324,Hercules,Male,blue,Demi-God,Brown,196,'Marvel Comics',-,good,146
327,Hobgoblin,Male,blue,-,Grey,180,'Marvel Comics',-,bad,83
329,'Hope Summers',Female,green,-,Red,168,'Marvel Comics',-,good,48
330,'Howard the Duck',Male,brown,-,Yellow,79,'Marvel Comics',-,good,18
331,Hulk,Male,green,'Human / Radiation',Green,244,'Marvel Comics',green,good,630
332,'Human Torch',Male,blue,'Human / Radiation',Blond,178,'Marvel Comics',-,good,77
333,Huntress,Female,blue,-,Black,180,'DC Comics',-,good,59
334,Husk,Female,blue,Mutant,Blond,170,'Marvel Comics',-,good,58
335,Hybrid,Male,brown,Symbiote,Black,175,'Marvel Comics',-,good,77
336,Hydro-Man,Male,brown,-,Brown,188,'Marvel Comics',-,bad,119
337,Hyperion,Male,blue,Eternal,Red,183,'Marvel Comics',-,good,207
338,Iceman,Male,brown,Mutant,Brown,173,'Marvel Comics',-,good,65
339,Impulse,Male,yellow,Human,Auburn,170,'DC Comics',-,good,65
340,'Indiana Jones',Male,-,Human,-,183,'George Lucas',-,good,79
342,Ink,Male,blue,Mutant,'No Hair',180,'Marvel Comics',-,good,81
343,'Invisible Woman',Female,blue,'Human / Radiation',Blond,168,'Marvel Comics',-,good,54
344,'Iron Fist',Male,blue,Human,Blond,180,'Marvel Comics',-,good,79
345,'Iron Man',Male,blue,Human,Black,198,'Marvel Comics',-,good,191
349,'Jack of Hearts',Male,'blue / white',Human,Brown,155,'Marvel Comics',-,good,79
350,Jack-Jack,Male,blue,Human,Brown,71,'Dark Horse Comics',-,good,14
352,'James T. Kirk',Male,hazel,Human,Brown,178,'Star Trek',-,good,77
355,'Jean Grey',Female,green,Mutant,Red,168,'Marvel Comics',-,good,52
357,'Jennifer Kale',Female,blue,-,Blond,168,'Marvel Comics',-,good,55
360,'Jessica Jones',Female,brown,Human,Brown,170,'Marvel Comics',-,good,56
362,Jigsaw,Male,blue,-,Black,188,'Marvel Comics',-,bad,113
367,'John Stewart',Male,green,Human,Black,185,'DC Comics',-,good,90
368,'John Wraith',Male,brown,-,Black,183,'Marvel Comics',-,good,88
369,Joker,Male,green,Human,Green,196,'DC Comics',white,bad,86
370,Jolt,Female,blue,-,Black,165,'Marvel Comics',-,good,49
371,Jubilee,Female,red,Mutant,Black,165,'Marvel Comics',-,good,52
373,Juggernaut,Male,blue,Human,Red,287,'Marvel Comics',-,neutral,855
375,Justice,Male,hazel,Human,Brown,178,'Marvel Comics',-,good,81
378,Kang,Male,brown,-,Brown,191,'Marvel Comics',-,bad,104
379,'Karate Kid',Male,brown,Human,Brown,173,'DC Comics',-,good,72
386,'Killer Croc',Male,red,Metahuman,'No Hair',244,'DC Comics',green,bad,356
388,Kilowog,Male,red,Bolovaxian,'No Hair',234,'DC Comics',pink,good,324
391,Kingpin,Male,blue,Human,'No Hair',201,'Marvel Comics',-,bad,203
392,Klaw,Male,red,Human,'No Hair',188,'Marvel Comics',red,bad,97
394,'Kraven II',Male,brown,Human,Black,191,'Marvel Comics',-,bad,99
395,'Kraven the Hunter',Male,brown,Human,Black,183,'Marvel Comics',-,bad,106
396,Krypto,Male,blue,Kryptonian,White,64,'DC Comics',-,good,18
397,'Kyle Rayner',Male,green,Human,Black,180,'DC Comics',-,good,79
400,'Lady Deathstrike',Female,brown,Cyborg,Black,175,'Marvel Comics',-,bad,58
401,Leader,Male,green,-,'No Hair',178,'Marvel Comics',-,bad,63
403,Legion,Male,'green / blue',Mutant,Black,175,'Marvel Comics',-,good,59
405,'Lex Luthor',Male,green,Human,'No Hair',188,'DC Comics',-,bad,95
406,'Light Lass',Female,blue,-,Red,165,'DC Comics',-,good,54
407,'Lightning Lad',Male,blue,-,Red,155,'DC Comics',-,good,65
408,'Lightning Lord',Male,blue,-,Red,191,'DC Comics',-,bad,95
409,'Living Brain',-,yellow,-,-,198,'Marvel Comics',-,bad,360
412,Lizard,Male,red,Human,'No Hair',203,'Marvel Comics',-,bad,230
413,Lobo,Male,red,Czarnian,Black,229,'DC Comics',blue-white,neutral,288
414,Loki,Male,green,Asgardian,Black,193,'Marvel Comics',-,bad,236
415,Longshot,Male,blue,Human,Blond,188,'Marvel Comics',-,good,36
416,'Luke Cage',Male,brown,Human,Black,198,'Marvel Comics',-,good,191
418,'Luke Skywalker',Male,blue,Human,Blond,168,'George Lucas',-,good,77
421,Mach-IV,Male,brown,-,Brown,180,'Marvel Comics',-,bad,79
422,'Machine Man',-,red,-,Black,183,'Marvel Comics',-,good,383
423,Magneto,Male,grey,Mutant,White,188,'Marvel Comics',-,bad,86
428,Man-Thing,Male,red,-,'No Hair',213,'Marvel Comics',green,good,225
429,Man-Wolf,Male,brown,-,Auburn,188,'Marvel Comics',-,good,90
430,Mandarin,Male,blue,Human,White,188,'Marvel Comics',-,bad,97
431,Mantis,Female,green,Human-Kree,Black,168,'Marvel Comics',green,good,52
432,'Martian Manhunter',Male,red,Martian,'No Hair',201,'DC Comics',green,good,135
433,'Marvel Girl',Female,green,-,Red,170,'Marvel Comics',-,good,56
434,'Master Brood',Male,blue,-,Black,183,'Team Epic TV',-,good,81
438,Maverick,Male,blue,-,Black,193,'Marvel Comics',-,good,110
439,Maxima,Female,brown,-,Red,180,'DC Comics',-,bad,72
441,Medusa,Female,green,Inhuman,Red,180,'Marvel Comics',-,good,59
442,Meltdown,Female,blue,-,Blond,165,'Marvel Comics',-,good,54
443,Mephisto,Male,white,-,Black,198,'Marvel Comics',-,bad,140
444,Mera,Female,blue,Atlantean,Red,175,'DC Comics',-,good,72
445,Metallo,Male,green,Android,Brown,196,'DC Comics',-,bad,90
446,Metamorpho,Male,black,-,'No Hair',185,'DC Comics',-,good,90
448,Metron,Male,blue,-,Black,185,'DC Comics',-,good,86
451,'Micro Lad',Male,grey,-,Brown,183,'DC Comics',-,good,77
452,Mimic,Male,brown,-,Brown,188,'Marvel Comics',-,good,101
455,'Miss Martian',Female,red,-,Red,178,'DC Comics',-,good,61
456,'Mister Fantastic',Male,brown,'Human / Radiation',Brown,185,'Marvel Comics',-,good,81
457,'Mister Freeze',Male,-,Human,-,183,'DC Comics',-,bad,86
460,'Mister Sinister',Male,red,'Human / Altered',Black,196,'Marvel Comics',-,bad,128
462,Mockingbird,Female,blue,Human,Blond,175,'Marvel Comics',-,good,61
463,MODOK,Male,white,Cyborg,Brownn,366,'Marvel Comics',-,bad,338
467,'Molten Man',Male,gold,-,Gold,196,'Marvel Comics',-,bad,248
468,Monarch,Male,blue,-,White,193,'DC Comics',-,good,90
470,'Moon Knight',Male,brown,Human,Brown,188,'Marvel Comics',-,good,101
471,Moonstone,Female,blue,-,Blond,180,'Marvel Comics',-,bad,59
472,Morlun,Male,'white / red',-,Black,188,'Marvel Comics',-,bad,79
473,Morph,Male,white,-,'No Hair',178,'Marvel Comics',-,good,79
474,'Moses Magnum',Male,brown,-,Black,175,'Marvel Comics',-,bad,72
475,'Mr Immortal',Male,blue,Mutant,Blond,188,'Marvel Comics',-,good,70
476,'Mr Incredible',Male,blue,Human,Blond,201,'Dark Horse Comics',-,good,158
477,'Ms Marvel II',Female,blue,-,Red,173,'Marvel Comics',-,good,61
478,'Multiple Man',Male,blue,-,Brown,180,'Marvel Comics',-,good,70
479,Mysterio,Male,brown,Human,'No Hair',180,'Marvel Comics',-,bad,79
480,Mystique,Female,'yellow (without irises)',Mutant,'Red / Orange',178,'Marvel Comics',blue,bad,54
482,Namor,Male,grey,Atlantean,Black,188,'Marvel Comics',-,good,125
483,Namora,Female,blue,-,Blond,180,'Marvel Comics',-,good,85
484,Namorita,Female,blue,-,Blond,168,'Marvel Comics',-,good,101
485,'Naruto Uzumaki',Male,-,Human,-,168,Shueisha,-,good,54
487,Nebula,Female,blue,Luphomoid,'No Hair',185,'Marvel Comics',blue,bad,83
489,'Nick Fury',Male,brown,Human,'Brown / White',185,'Marvel Comics',-,good,99
490,Nightcrawler,Male,yellow,-,Indigo,175,'Marvel Comics',-,good,88
491,Nightwing,Male,blue,Human,Black,178,'DC Comics',-,good,79
495,Northstar,Male,blue,-,Black,180,'Marvel Comics',-,good,83
496,Nova,Male,brown,Human,Brown,185,'Marvel Comics',-,good,86
497,Nova,Female,white,'Human / Cosmic',Red,163,'Marvel Comics',gold,good,59
498,Odin,Male,blue,'God / Eternal',White,206,'Marvel Comics',-,good,293
500,'Omega Red',Male,red,-,Blond,211,'Marvel Comics',-,bad,191
501,Omniscient,Male,brown,-,Black,180,'Team Epic TV',-,good,65
502,'One Punch Man',Male,-,Human,'No Hair',175,Shueisha,-,good,69
504,Onslaught,Male,red,Mutant,'No Hair',305,'Marvel Comics',-,bad,405
505,Oracle,Female,blue,Human,Red,178,'DC Comics',-,good,59
510,'Paul Blart',Male,-,Human,-,170,'Sony Pictures',-,good,117
513,'Penance II',Male,blue,-,Blond,183,'Marvel Comics',-,good,89
514,Penguin,Male,blue,Human,Black,157,'DC Comics',-,bad,79
517,'Phantom Girl',Female,blue,-,Black,168,'DC Comics',-,good,54
518,Phoenix,Female,green,Mutant,Red,168,'Marvel Comics',-,good,52
519,Plantman,Male,green,Mutant,Grey,183,'Marvel Comics',-,bad,87
521,'Plastic Man',Male,blue,Human,Black,185,'DC Comics',-,good,80
522,Plastique,Female,blue,-,Red,168,'DC Comics',-,bad,55
523,'Poison Ivy',Female,green,Human,Red,168,'DC Comics',green,bad,50
524,Polaris,Female,green,Mutant,Green,170,'Marvel Comics',-,good,52
525,'Power Girl',Female,blue,Kryptonian,blond,180,'DC Comics',-,good,81
527,Predator,Male,-,Yautja,-,213,'Dark Horse Comics',-,bad,234
528,'Professor X',Male,blue,Mutant,'No Hair',183,'Marvel Comics',-,good,86
529,'Professor Zoom',Male,blue,Human,'Strawberry Blond',180,'DC Comics',-,bad,81
531,Psylocke,Female,blue,Mutant,Purple,180,'Marvel Comics',-,good,70
532,Punisher,Male,blue,Human,Black,183,'Marvel Comics',-,good,90
533,'Purple Man',Male,purple,Human,Purple,180,'Marvel Comics',purple,bad,74
534,Pyro,Male,blue,-,Blond,178,'Marvel Comics',-,bad,68
537,Question,Male,blue,Human,Blond,188,'DC Comics',-,good,83
538,Quicksilver,Male,blue,Mutant,Silver,183,'Marvel Comics',-,good,79
539,Quill,Male,brown,-,Brown,163,'Marvel Comics',-,good,56
540,'Raunknowns Al Ghul',Male,green,Human,Grey,193,'DC Comics',-,bad,97
542,Rambo,Male,brown,Human,Black,178,-,-,good,83
544,Raven,Female,indigo,Human,Black,165,'DC Comics',-,neutral,50
545,Ray,Male,green,Human,Red,178,'DC Comics',-,good,70
546,'Razor-Fist II',Male,blue,-,'No Hair',191,'Marvel Comics',-,bad,117
547,'Red Arrow',Male,green,Human,Red,180,'DC Comics',-,good,83
548,'Red Hood',Male,blue,Human,Black,183,'DC Comics',-,neutral,81
549,'Red Hulk',Male,yellow,'Human / Radiation',Black,213,'Marvel Comics',red,neutral,630
551,'Red Robin',Male,blue,Human,Black,165,'DC Comics',-,good,56
552,'Red Skull',Male,blue,-,'No Hair',188,'Marvel Comics',-,bad,108
553,'Red Tornado',Male,green,Android,'No Hair',185,'DC Comics',-,good,146
558,Rhino,Male,brown,'Human / Radiation',Brown,196,'Marvel Comics',-,bad,320
559,'Rick Flag',Male,blue,-,Brown,185,'DC Comics',-,bad,85
562,Ripcord,Female,green,-,Black,180,'Marvel Comics',-,good,72
563,Robin,Male,blue,Human,Black,178,'DC Comics',-,good,79
564,'Robin II',Male,blue,Human,Red,183,'DC Comics',-,good,101
565,'Robin III',Male,blue,Human,Black,165,'DC Comics',-,good,56
566,'Robin V',Male,blue,Human,Black,137,'DC Comics',-,good,38
568,'Rocket Raccoon',Male,brown,Animal,Brown,122,'Marvel Comics',-,good,25
569,Rogue,Female,green,-,'Brown / White',173,'Marvel Comics',-,good,54
570,Ronin,Male,blue,Human,Blond,191,'Marvel Comics',-,good,104
571,Rorschach,Male,blue,Human,Red,168,'DC Comics',-,good,63
572,Sabretooth,Male,amber,Mutant,Blond,198,'Marvel Comics',-,bad,171
573,Sage,Female,blue,-,Black,170,'Marvel Comics',-,good,61
574,Sandman,Male,brown,Human,Brown,185,'Marvel Comics',-,neutral,203
575,Sasquatch,Male,red,-,Orange,305,'Marvel Comics',-,good,900
578,Scarecrow,Male,blue,Human,Brown,183,'DC Comics',-,bad,63
579,'Scarlet Spider',Male,blue,Human,Blond,178,'Marvel Comics',-,good,74
580,'Scarlet Spider II',Male,brown,Clone,Brown,193,'Marvel Comics',-,good,113
581,'Scarlet Witch',Female,blue,Mutant,Brown,170,'Marvel Comics',-,bad,59
583,Scorpion,Male,brown,Human,Brown,211,'Marvel Comics',-,bad,310
585,Sentry,Male,blue,Mutant,Blond,188,'Marvel Comics',-,neutral,87
586,'Shadow King',-,red,-,-,185,'Marvel Comics',-,good,149
587,'Shadow Lass',Female,black,Talokite,Black,173,'DC Comics',blue,good,54
588,Shadowcat,Female,hazel,Mutant,Brown,168,'Marvel Comics',-,good,50
589,Shang-Chi,Male,brown,Human,Black,178,'Marvel Comics',-,good,79
590,Shatterstar,Male,brown,-,Red,191,'Marvel Comics',-,good,88
591,She-Hulk,Female,green,Human,Green,201,'Marvel Comics',-,good,315
592,She-Thing,Female,blue,'Human / Radiation','No Hair',183,'Marvel Comics',-,good,153
593,Shocker,Male,brown,Human,Brown,175,'Marvel Comics',-,bad,79
594,Shriek,Female,'yellow / blue',-,Black,173,'Marvel Comics',-,good,52
596,Sif,Female,blue,Asgardian,Black,188,'Marvel Comics',-,good,191
600,'Silver Surfer',Male,white,Alien,'No Hair',193,'Marvel Comics',silver,good,101
601,Silverclaw,Female,brown,-,Black,157,'Marvel Comics',-,good,50
603,Sinestro,Male,black,Korugaran,Black,201,'DC Comics',red,neutral,92
604,Siren,Female,blue,Atlantean,Purple,175,'DC Comics',-,bad,72
606,Siryn,Female,blue,-,'Strawberry Blond',168,'Marvel Comics',-,bad,52
607,Skaar,Male,green,-,Black,198,'Marvel Comics',-,good,180
609,Snowbird,Female,white,-,Blond,178,'Marvel Comics',-,good,49
611,'Solomon Grundy',Male,black,Zombie,White,279,'DC Comics',-,bad,437
612,Songbird,Female,green,-,'Red / White',165,'Marvel Comics',-,good,65
613,'Space Ghost',Male,-,Human,-,188,'DC Comics',-,good,113
614,Spawn,Male,brown,Demon,Black,211,'Image Comics',-,good,405
620,Spider-Girl,Female,blue,Human,Brown,170,'Marvel Comics',-,good,54
621,Spider-Gwen,Female,blue,Human,Blond,165,'Marvel Comics',-,good,56
622,Spider-Man,Male,hazel,Human,Brown,178,'Marvel Comics',-,good,74
623,Spider-Man,-,red,Human,Brown,178,'Marvel Comics',-,good,77
624,Spider-Man,Male,brown,Human,Black,157,'Marvel Comics',-,good,56
625,Spider-Woman,Female,green,Human,Black,178,'Marvel Comics',-,good,59
627,'Spider-Woman III',Female,brown,-,Brown,173,'Marvel Comics',-,good,55
628,'Spider-Woman IV',Female,red,-,White,178,'Marvel Comics',-,bad,58
629,Spock,Male,brown,Human-Vulcan,Black,185,'Star Trek',-,good,81
630,Spyke,Male,brown,Mutant,Blond,183,'Marvel Comics',-,good,83
632,Star-Lord,Male,blue,Human-Spartoi,Blond,188,'Marvel Comics',-,good,79
634,Starfire,Female,green,Tamaranean,Auburn,193,'DC Comics',orange,good,71
635,Stargirl,Female,blue,Human,Blond,165,'DC Comics',-,good,62
